Title,Price,Address,Details
Commercial land for sale,"₦800,000,000","Gra Bus-stop, Abijo, Lekki, Lagos",N/A
Self contain (single rooms) for rent,"₦1,000,000per annum","Sangotedo, Ajah, Lagos",N/A
3 bedroom flat / apartment for rent,"₦15,000,000per annum","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦450,000,000","Royal Garden Estate, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦160,000,000","Abraham Adesanya, Ajah, Lagos",N/A
2 bedroom flat / apartment for sale,"₦150,000,000","Ikate, Lekki, Lagos",N/A
1 bedroom house for rent,"₦200,000per annum","Igbogbo, Ikorodu, Lagos",N/A
2 bedroom flat / apartment for rent,"₦120,000per annum","Lekki County, Ikota, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦268,750per day","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦600,000per annum","Ofin Estate, Igbogbo, Ikorodu, Lagos",N/A
3 bedroom flat / apartment for sale,"₦180,000,000","Navy Quarters., Jahi, Abuja",N/A
6 bedroom detached duplex for sale,"₦4,500,000,000","Banana Island, Ikoyi, Lagos",N/A
4 bedroom house for sale,"₦1,400,000,000","Banana Island, Ikoyi, Lagos",N/A
3 bedroom terraced duplex for sale,"₦500,000,000","Off Muri Okunola Way, Victoria Island (VI), Lagos",N/A
4 bedroom detached bungalow for sale,"₦195,000,000","Northern Foreshore Chevron Drive, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦600,000,000","Ikoyi, Ikoyi, Lagos",N/A
Land for sale,"₦100,000,000","Maitama - Asokoro Road, Maitama District, Abuja",N/A
4 bedroom terraced duplex for sale,"₦500,000,000","GRA Phase 2, Magodo, Lagos",N/A
4 bedroom flat / apartment for sale,"$3,750,000approx. ₦5,235,112,238","Old Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for rent,"₦30,000,000per annum","Victoria Island (VI), Lagos",N/A
2 bedroom semi-detached bungalow for rent,"₦10,000,000per annum","Off Admiralty Road, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom house for sale,"₦1,200,000,000","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦600,000,000","Katampe Extension, Katampe, Abuja",N/A
2 bedroom flat / apartment for sale,"₦16,000,000","Allen, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦700,000,000","Ikate, Ikate, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦1,300,000,000","Off Bourdillon, Ikoyi, Lagos",N/A
Residential land for sale,"₦100,000,000","Inside A Secured Gated Close Beside Ifako Internatonal School, Ifako-Ijaiye, Lagos",N/A
4 bedroom terraced duplex for rent,"₦15,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
6 bedroom detached duplex for sale,"₦450,000,000","Western Foreshore, Osapa, Lekki, Lagos",N/A
Self contain (single rooms) short let,"₦33,000per day","19b, River Park Estate, Lugbe District, Abuja",N/A
2 bedroom flat / apartment for sale,"₦180,000,000","Off Freedom Way, Ikate Elegushi, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦800,000,000","Off Adebayo Doherty, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom house for sale,"₦430,000,000","Gilmore, Jahi, Abuja",N/A
Residential land for sale,"₦850,000,000","GRA Phase 2, Magodo, Lagos",N/A
2 bedroom flat / apartment for rent,"₦3,500,000per annum","GRA Phase 2, Magodo, Lagos",N/A
4 bedroom terraced duplex for sale,"₦320,000,000","Ogba, Ikeja, Lagos",N/A
4 bedroom detached duplex for rent,"₦25,000,000per annum","By Domino Pizza, GRA Phase 2, Magodo, Lagos",N/A
5 bedroom detached duplex for sale,"₦450,000,000","Chevron Lekki, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦55,000per day","Isheri-olofin Area, Alimosho, Lagos",N/A
3 bedroom terraced duplex for sale,"₦350,000,000","Wuse 2, Abuja",N/A
5 bedroom detached duplex for sale,"₦650,000,000","GRA Phase 2, Magodo, Lagos",N/A
5 bedroom detached duplex for sale,"₦395,000,000","Orchid, Lekki, Lagos",N/A
Commercial land for sale,"₦400,000,000","Off Bank Anthony / Olowu Street,, Ikeja, Lagos",N/A
6 bedroom detached duplex for sale,"₦7,000,000,000","Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦650,000,000","GRA Phase 2, Magodo, Lagos",N/A
Residential land for sale,"₦35,000,000","Lakowe, Ibeju Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦180,000,000","Jahi, Abuja",N/A
Block of flats for sale,"₦185,000,000","Karimu Laka Street, Egbeda Lagos, Egbeda, Alimosho, Lagos",N/A
4 bedroom terraced duplex for sale,"₦650,000,000","Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦160,000,000per annum","Mabushi, Abuja",N/A
3 bedroom flat / apartment short let,"₦268,750per day","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦160,000,000per annum","Mabushi, Abuja",N/A
5 bedroom detached duplex for sale,"₦700,000,000","Oba Akran, Oba Akran, Ikeja, Lagos",N/A
4 bedroom detached bungalow for sale,"₦300,000,000","Adeniran Ogunsanya, Adeniran Ogunsanya, Surulere, Lagos",N/A
4 bedroom terraced duplex for sale,"₦350,000,000","Lekki Phase 1, Lekki, Lagos",N/A
Block of flats for sale,"₦140,000,000","Off Ogunlana Akowonjo Lagos, Akowonjo, Alimosho, Lagos",N/A
2 bedroom flat / apartment short let,"₦160,000per day","Ikate, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦3,000,000per annum","Oyebajo Sholarin Elebiju, Ketu, Lagos",N/A
4 bedroom detached duplex for sale,"₦700,000,000","Ikeja GRA, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦160,000,000","Ikota, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦380,000,000","Wuye, Abuja",N/A
Office space for rent,"₦7,250,000per annum","Otunba Jobi Fele Way, Alausa, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦310,000,000","Chevron, Lekki Phase 1, Lekki, Lagos",N/A
Land for sale,"₦150,000,000","Chevron Drive, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦210,000,000","Ikota, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦280,000,000","Off Freedom Way, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦480,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦5,000,000per annum","Allen Avenue, Allen, Ikeja, Lagos",N/A
4 bedroom detached duplex for sale,"₦185,000,000","Off Orchid Road, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for rent,"₦15,000,000per annum","Lake View Park Estate Orchid, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦165,000,000","Off Chevron Drive, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦45,000per day","Chevron Drive, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦405,000,000","Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦750,000,000","Victoria Garden City Vgc Estate, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦150,000per day","Lekki Phase 1, Lekki, Lagos",N/A
6 bedroom detached duplex for sale,"₦550,000,000","Apo, Abuja",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦150,000,000","Ikota, Lekki, Lagos",N/A
Filling station for sale,"₦540,000,000","Igondo Road, Isheri, Lagos",N/A
2 bedroom house for sale,"₦110,000,000","Agungi, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦200,000,000","Perfect For Family Living And Commercial Purpose., Maryland, Lagos",N/A
1 bedroom flat / apartment for rent,"₦8,000,000per annum","Ikoyi, Ikoyi, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦240,000,000","Chevron Lekki, Lekki, Lagos",N/A
5 bedroom house for rent,"₦100,000,000per annum","Banana Island, Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦55,000,000","Opposite Anglican Secondary School, Jikwoyi, Abuja",N/A
Residential land joint venture,"₦1,500,000,000","Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦320,000,000","Ajah, Lagos",N/A
5 bedroom detached duplex for rent,"₦40,000,000per annum","Off Oba Akinjobi Str Ikeja Gra., Ikeja, Lagos",N/A
4 bedroom house for sale,"₦260,000,000","Ajah, Lagos",N/A
5 bedroom detached duplex for sale,"$4,000,000approx. ₦5,584,119,720","Old Ikoyi, Ikoyi, Lagos",N/A
2 bedroom flat / apartment short let,"₦150,000per day","Lekki Phase 1, Lekki, Lagos",N/A
Block of flats for sale,"₦350,000,000","Yaba, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦100,000,000","Atlantic Nominee Estate, Ajah, Lagos",N/A
2 bedroom flat / apartment short let,"₦70,000per day","Salis Court Estate,  Efire Ileogun Street, Jabi, Abuja",N/A
Residential land for sale,"₦150,000,000","Onipanu, Shomolu, Lagos",N/A
3 bedroom flat / apartment for rent,"₦800,000","Abule Pan, Eleko, Ibeju Lekki, Lagos",N/A
Mixed-use land for rent,"₦50,000,000per annum","Edmond Crescent, Yaba, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦450,000,000","Platinum Way, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦280,000,000","Itirin, Ajah, Lagos",N/A
Mixed-use land for sale,"₦300,000per square meter","Agbeke Balogun Close Off Celestial Church Street, Agidingbi, Ikeja, Lagos",N/A
Mixed-use land for rent,"₦80,000,000per annum","Mcpherson, Ikoyi, Lagos",N/A
Office space for sale,"$17,000,000approx. ₦23,732,508,810","Akin Adesola, Victoria Island (VI), Lagos",N/A
Mixed-use land for sale,"$2,050per square meterapprox. ₦2,861,861","Eko Atlantic, Victoria Island (VI), Lagos",N/A
Mixed-use land for sale,"$17,000,000approx. ₦23,732,508,810","Banana Island, Ikoyi, Lagos",N/A
Mixed-use land for sale,"$26,506,250approx. ₦37,003,518,332","Eko Atlantic, Victoria Island (VI), Lagos",N/A
3 bedroom semi-detached duplex for sale,"₦895,000,000","Ikoyi, Ikoyi, Lagos",N/A
3 bedroom terraced duplex for sale,"₦195,000,000","Ikate, Lekki, Lagos",N/A
5 bedroom detached duplex for rent,"₦20,000,000per annum","Osapa London, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦130,000per day","Comfortable Stay, Picturesque, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦4,000,000per annum","Ologolo, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦13,000,000per annum","Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦150,000per day","Genesis Court Estate, Ajah, Lagos",N/A
2 bedroom flat / apartment for sale,"₦200,000,000","Gen Emdin Street, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦150,000per day","Genesis Court Estate, Ajah, Lagos",N/A
Residential land for sale,"₦2,000,000","Directly Facing Ikorodu-shagamu Road With Easy Access Through Epe., Ikorodu, Lagos",N/A
3 bedroom flat / apartment for rent,"₦3,500,000per annum","Ogudu, Ori-oke, Ogudu, Lagos",N/A
5 bedroom detached duplex for sale,"₦295,000,000","Lekki Palmcity Ajah-lekki, Ajah, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦300,000,000","Chevron, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦180,000,000","Orchid, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦850,000,000","Kingswood, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦200,000,000","Lekki Phase 1, Lekki, Lagos",N/A
Commercial land for rent,"₦40,000,000per annum","Wole Olateju Street, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom flat / apartment for sale,"₦380,000,000","Beside Maryland Mall, Maryland, Lagos",N/A
Residential land for sale,"₦4,000,000","Agbowa, Close To Agbowa Housing Estate, Ikorodu, Lagos",N/A
4 bedroom detached duplex for rent,"₦10,000,000per annum","Ikota, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦175,000,000","Orchid, Lekki, Lagos",N/A
3 bedroom terraced duplex for rent,"₦6,500,000per annum","Ikota, Lekki, Lagos",N/A
4 bedroom terraced duplex for rent,"₦7,500,000per annum","Abraham Adesanya, Sangotedo, Ajah, Lagos",N/A
4 bedroom flat / apartment for rent,"₦45,000,000per annum","Ikoyi, Lagos",N/A
4 bedroom terraced duplex for rent,"₦34,505,050per annum","Off Awolowo Road, Falomo, Ikoyi, Lagos",N/A
5 bedroom detached duplex for rent,"₦79,900,000per annum","Banana Island Estate, Banana Island, Ikoyi, Lagos",N/A
2 bedroom flat / apartment for sale,"₦270,000,000","Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom detached duplex for sale,"₦80,000,000","Oribanwa Phase2 By Awoyaya Ibeju-lekki Lagos, Oribanwa, Ibeju Lekki, Lagos",N/A
4 bedroom terraced duplex short let,"₦95,000per day","Susan Orji Street, Royal View Estate, Opposite Mega Chicken, Ikota, Lekki, Lagos",N/A
Commercial property for sale,"₦300,000,000","Egbeda Idimu Road, Egbeda, Alimosho, Lagos",N/A
12 bedroom house for sale,"₦200,000,000","Agboyi Estate, Alapere, Ketu, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,200,000,000","Astonishing Family Home Within A Prestigious Estate, Lekki Phase 1, Lekki, Lagos",N/A
Commercial land for sale,"₦10,500,000,000","Central Business District, Abuja",N/A
7 bedroom house for sale,"₦4,000,000,000","Asokoro District, Abuja",N/A
2 bedroom flat / apartment for rent,"₦55,000,000per annum","Old Ikoyi, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦420,000,000","Ikota, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦155,000,000","GRA Phase 1, Magodo, Lagos",N/A
7 bedroom detached duplex for sale,"₦500,000,000","Naf Valley Estate, Asokoro District, Abuja",N/A
Block of flats for sale,"₦270,000,000","39, Itire Road, Surulere, Aguda, Surulere, Lagos",N/A
5 bedroom detached duplex for sale,"₦600,000,000","Life Camp, Abuja",N/A
2 bedroom block of flats for sale,"₦250,000,000","Destiny Homes, Abijo, Lekki, Lagos",N/A
6 bedroom detached duplex for sale,"₦230,000,000","Lekki Phase 2, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦250,000,000","Off College Road, Ogba, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,550,000,000","Features Pool,spacious Ensuite Room, Beachfront Therapy View, Osapa, Lekki, Lagos",N/A
3 bedroom semi-detached duplex for rent,"₦9,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦200,000,000","Karsana, Abuja",N/A
5 bedroom detached duplex for sale,"₦900,000,000","Osapa, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦14,000,000per annum","Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for rent,"₦6,000,000per annum","Sunshine Estate, Sangotedo, Ajah, Lagos",N/A
2 bedroom detached bungalow for rent,"₦7,000,000per annum","Beachwood Park Estate Lakowe Golf Estate, Lakowe, Ibeju Lekki, Lagos",N/A
10 bedroom block of flats for sale,"₦120,000,000","Igbogbo Bayeku, Ikorodu, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦600,000,000","Asokoro Main, Asokoro District, Abuja",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,500,000per annum","Close To Addo Round About, Badore, Ajah, Lagos",N/A
4 bedroom terraced duplex for rent,"₦10,000,000per annum","Palm Heights Estate Von Road, Off Airport Road Abuja, Lugbe District, Abuja",N/A
Commercial land for sale,"₦1,500,000,000","Ikorodu, Lagos",N/A
3 bedroom flat / apartment for rent,"₦30,000,000per annum","Off Allen Avenue, Ikeja, Ikeja, Lagos",N/A
4 bedroom detached duplex for sale,"₦190,000,000","In A Secure Estate, A Detailed Site Video Is Available, Ogba, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦8,500,000per annum","Ologolo, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦4,000,000per annum","6th Avenue, Gwarinpa, Abuja",N/A
1 bedroom mini flat (room and parlour) short let,"₦150,000per day","Banana Island, Ikoyi, Lagos",N/A
3 bedroom terraced duplex for sale,"₦80,000,000","Lbs, Ajah, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦850,000per annum","Abijo Gra, Abijo, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦270,000,000","Gudu, Abuja",N/A
4 bedroom terraced duplex for rent,"₦15,000,000per annum","Inside Magodo Shaginsha Gra, GRA Phase 2, Magodo, Lagos",N/A
1 bedroom flat / apartment short let,"₦130,000per day","Fully Furnished Apartment, Lekki Phase 1, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦4,500,000per annum","Ikota, Lekki Phase 2, Lekki, Lagos",N/A
3 bedroom terraced duplex for sale,"₦90,000,000","Ajah, Lagos",N/A
7 bedroom detached duplex for sale,"₦4,000,000,000","Asokoro Main, Asokoro District, Abuja",N/A
32 bedroom hotel / guest house for rent,"₦450,000,000per annum","Ikeja GRA, Ikeja, Lagos",N/A
Commercial land for sale,"₦2,900,000,000","Joel Ogunaikeke, Ikeja GRA, Ikeja, Lagos",N/A
3 bedroom semi-detached duplex for rent,"₦32,000,000per annum","Olu Awotesu Street, Jabi, Abuja",N/A
32 bedroom hotel / guest house for rent,"₦450,000,000per annum","Ikeja GRA, Ikeja, Lagos",N/A
Commercial land for sale,"₦2,900,000,000","Joel Ogunaikeke, Ikeja GRA, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦180,000,000","Ajah, Lagos",N/A
4 bedroom terraced duplex for rent,"₦6,000,000per annum","Abraham Adesanya, Ajah, Lagos",N/A
1 bedroom flat / apartment short let,"₦130,000per day","Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for sale,"₦85,000,000","Ologolo, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom terraced duplex for sale,"₦110,000,000","Ajah, Lagos",N/A
4 bedroom flat / apartment for rent,"₦23,000,000per annum","Freedom Way, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦200,000per day","Cozy Feeling Akin Leigh Crescent., Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦2,500,000per annum","Dawaki Extension, Dawaki, Gwarinpa, Abuja",N/A
3 bedroom terraced duplex short let,"₦300,000per day","Banana Island, Ikoyi, Lagos",N/A
3 bedroom semi-detached duplex for rent,"₦9,000,000per annum","Orchid, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦6,500,000per annum","Ologolo, Ologolo, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦800,000,000","Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦110,000per day","Off Conservation Road, Lekki Expressway, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦600,000,000","Chevron, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦550,000,000","Osapa, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦20,000,000per annum","Ikate, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦110,000per day","Adeniran Ogunsanya, Surulere, Lagos",N/A
3 bedroom terraced duplex for sale,"₦95,000,000","Abraham Adesanya, Ajah, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦98,000,000","Gra, Ikota, Lekki, Lagos",N/A
1 bedroom flat / apartment short let,"₦85,000per day","Ikate, Surulere, Lagos",N/A
2 bedroom flat / apartment short let,"₦150,000per day","Ikoyi Club Road, Ikoyi, Lagos",N/A
Self contain (single rooms) short let,"₦60,000per day","Ikoyi Club Road., Ikoyi, Lagos",N/A
3 bedroom flat / apartment short let,"₦200,000per day","Ikoyi Club, 1938 Road, Ikoyi, Lagos",N/A
5 bedroom detached duplex for sale,"₦170,000,000","Ajah, Lagos",N/A
4 bedroom terraced duplex for sale,"₦150,000,000","Sangotedo, Ajah, Lagos",N/A
3 bedroom flat / apartment for rent,"₦6,500,000per annum","Kilo, Surulere, Lagos",N/A
Commercial land for sale,"₦1,650,000,000","Fola Osibo, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom house for sale,"₦280,000,000","Lekki Palmcity Ajah-lekki, Ajah, Lagos",N/A
3 bedroom house for rent,"₦48,000,000per annum","Ikoyi, Lagos",N/A
4 bedroom detached duplex for sale,"₦350,000,000","Eletu, Osapa, Lekki, Lagos",N/A
2 bedroom block of flats for sale,"₦750,000,000","Lugbe District, Abuja",N/A
3 bedroom flat / apartment for rent,"₦50,000,000per annum","Secure Estate Banana Island Ikoyi Lagos, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for rent,"₦6,500,000per annum","By Arab, Utako, Abuja",N/A
4 bedroom terraced duplex for rent,"₦20,000,000per annum","Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦216,000,000","Off Admirality Way Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦550,000,000","Jahi, Abuja",N/A
1 bedroom flat / apartment for sale,"₦110,000,000","Off Admirality Way Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦350,000,000","Perfect For Family Living And Cashflow Investment Purpose., Ogba, Ikeja, Lagos",N/A
4 bedroom terraced duplex for rent,"₦40,000,000per annum","Oniru, Victoria Island (VI), Lagos",N/A
1 bedroom mini flat (room and parlour) for sale,"₦185,000,000","Ahmadu Bello Way, Victoria Island (VI), Lagos",N/A
4 bedroom terraced duplex for sale,"₦400,000,000","Secure Minestate Lekki Right Lagos, Lekki Phase 1, Lekki, Lagos",N/A
Mixed-use land for sale,"₦10,500,000,000","Central Business District, Abuja",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000per annum","Majek After Sango Tedo, Ajah, Lagos",N/A
5 bedroom detached duplex for sale,"₦220,000,000","Osapa, Lekki, Lagos",N/A
3 bedroom block of flats for sale,"₦100,000,000","Dalemo Alakuko Lagos, Alakuko, Ifako-Ijaiye, Lagos",N/A
5 bedroom detached duplex for sale,"₦370,000,000","Royal Garden Estate, Ajah, Lagos",N/A
Residential land for sale,"₦45,000,000","Ogudu, Lagos",N/A
3 bedroom flat / apartment for sale,"₦600,000,000","Gated Estate Off Marwa Road, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦300,000,000","Oniru, Victoria Island (VI), Lagos",N/A
2 bedroom flat / apartment for sale,"₦250,000,000","Oniru, Victoria Island (VI), Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦3,600,000per annum","Off Spg Road Behind Ebeano Supermarket, Ologolo, Lekki, Lagos",N/A
2 bedroom flat / apartment for rent,"₦4,000,000per annum","Oyebode Street Off Thomas Annimashaun, Aguda, Surulere, Lagos",N/A
1 bedroom mini flat (room and parlour) for rent,"₦2,000,000per annum","Destiny Homes Estate, Abijo, Lekki, Lagos",N/A
3 bedroom flat / apartment short let,"₦190,000per day","Lekki Proper, Lekki Phase 1, Lekki, Lagos",N/A
4 bedroom detached duplex for rent,"₦9,000,000per annum","Along Von Road, Lugbe District, Abuja",N/A
4 bedroom semi-detached duplex for rent,"₦18,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) short let,"₦45,000per day","Coral Estate, Umar Shuaibu Street, Wuye, Abuja",N/A
5 bedroom detached duplex for sale,"₦395,000,000","Ikota, Lekki, Lagos",N/A
5 bedroom semi-detached duplex for sale,"₦295,000,000","Lekki County, Ikota, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦600,000,000","Chevron, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦185,000,000","Off Oladipo Diya Road, Gaduwa, Abuja",N/A
5 bedroom detached duplex for sale,"₦600,000,000","Chevron, Lekki, Lagos",N/A
5 bedroom terraced duplex for sale,"₦220,000,000","Chevron Toll Gate, Orchid Road, Lekki, Lagos",N/A
Office space for rent,"₦500,000per square meter / per annum","Awolowo Road, Ikoyi, Lagos",N/A
3 bedroom block of flats for sale,"₦300,000,000","Ikoyi, Lagos",N/A
3 bedroom terraced duplex for rent,"₦9,000,000per annum","Grace Court Estate, Yaba, Lagos",N/A
2 bedroom house for rent,"₦15,000,000per annum","Ikate, Lekki, Lagos",N/A
Commercial land for sale,"₦3,700,000","Owode, Obafemi Owode, Ogun",N/A
4 bedroom terraced duplex for sale,"₦180,000,000","Chevron Toll Gate, Orchid Road, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦500,000,000","Lekki County, Ikota, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦60,000,000","Life Camp, Abuja",N/A
2 bedroom house for rent,"₦8,000,000per annum","Ologolo, Lekki, Lagos",N/A
Self contain (single rooms) for rent,"₦1,500,000per annum","Nike Art Gallery Way, Ikate, Lekki, Lagos",N/A
4 bedroom terraced duplex for sale,"₦400,000,000","Ikate, Lekki, Lagos",N/A
2 bedroom house for rent,"₦6,000,000per annum","Ologolo, Lekki, Lagos",N/A
2 bedroom flat / apartment for sale,"₦180,000,000","Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦65,000,000","Life Camp, Abuja",N/A
4 bedroom semi-detached duplex for rent,"₦15,000,000per annum","Orchid, Lekki, Lagos",N/A
4 bedroom semi-detached duplex for rent,"₦15,000,000per annum","Orchid, Lekki, Lagos",N/A
2 bedroom flat / apartment short let,"₦160,000per day","Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",N/A
3 bedroom flat / apartment for sale,"₦140,000,000","Ajao Estate, Airport Road,, Ikeja, Lagos",N/A
3 bedroom flat / apartment short let,"₦215,000per day","Off Palace Road, Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom detached duplex for sale,"₦500,000,000","Maryland, Lagos",N/A
2 bedroom terraced duplex for rent,"₦9,000,000per annum","Ologolo, Lekki, Lagos",N/A
15 bedroom house for rent,"₦50,000,000per annum","Directly On Awolowo Way, Ikeja, Ikeja, Lagos",N/A
3 bedroom flat / apartment for rent,"₦8,000,000per annum","Gilmore, Jahi, Abuja",N/A
4 bedroom semi-detached duplex for rent,"₦11,000,000per annum","Ikota, Lekki, Lagos",N/A
4 bedroom detached duplex for sale,"₦400,000,000","Opebi, Ikeja, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦350,000,000","Ogba, Ikeja, Lagos",N/A
24 bedroom flat / apartment for sale,"₦3,750,000,000","Lekki Phase 1, Lekki, Lagos",N/A
Mixed-use land for sale,"₦5,000,000,000","Ikeja GRA, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,200,000,000","Parkview, Ikoyi, Lagos",N/A
1 bedroom mini flat (room and parlour) for sale,"₦65,000,000","Whitesand School, Ikate, Lekki, Lagos",N/A
1 bedroom mini flat (room and parlour) for sale,"₦65,000,000","Whitesand School, Ikate, Lekki, Lagos",N/A
Residential land for sale,"₦445,000,000","Pinnock Beach Estate, Osapa, Lekki, Lagos",N/A
