Title,Price,Address,Details
4 bedroom semi-detached duplex for sale,"₦1,700,000,000","Clarence Gate, Banana Island, Ikoyi, Lagos",N/A
1 bedroom mini flat (room and parlour) for sale,"₦55,000,000","Balogun, Ikeja, Lagos",N/A
3 bedroom flat / apartment for sale,"₦290,000,000","Opebi, Ikeja, Lagos",N/A
Residential land for sale,"₦1,500,000,000","Tunde Oshilaja Street, Opebi, Ikeja, Lagos",N/A
2 bedroom flat / apartment for sale,"₦85,000,000","Abraham Adesanya, Ajah, Lagos",N/A
Self contain (single rooms) for rent,"₦1,500,000per annum","Abraham Adesanya Estate, Ajah, Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦540,000,000","Rock Hampton Estate, Maitama District, Abuja",N/A
Land for sale,"₦55,000,000","Along Ehor Highway Near The Police Station, Benin, Oredo, Edo",N/A
School for sale,"₦1,200,000,000","Aruogba Community, Off Airport Road, Gra, Benin, Oredo, Edo",N/A
4 bedroom house for sale,"₦110,000,000","Omogiate Street, Ogumwenyi Road, Benin, Oredo, Edo",N/A
5 bedroom house for sale,"₦230,000,000","Ekae Road, Off Country Home, Sapele Road, Benin, Oredo, Edo",N/A
17 bedroom house for sale,"₦280,000,000","Gaius Idubor Road, Off Gapiona Road, Airport Road Gra, Benin, Oredo, Edo",N/A
75 bedroom hotel / guest house for sale,"₦1,200,000,000","After Agip, Sapele Road, Benin City, Benin, Oredo, Edo",N/A
12 bedroom house for sale,"₦160,000,000","Akpabor Str, Off 1st Ugbor Road, Gra, Benin, Oredo, Edo",N/A
4 bedroom terraced duplex for rent,"₦30,000,000per annum","Louis Solomon Close Off Ahmadu Bello, Victoria Island (VI), Lagos",N/A
4 bedroom semi-detached duplex for sale,"₦90,000,000","Orchid Lekki, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦1,000,000,000","Bella Vista Estate, Ikate, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦12,000,000per annum","Ikate Elegushi, Lekki, Lagos",N/A
Residential land joint venture,"₦800,000","Seagate Estate, Ikate Elegushi, Lekki, Lagos",N/A
3 bedroom flat / apartment for rent,"₦25,000,000per annum","Lekki Phase 1, Lekki, Lagos",N/A
7 bedroom detached duplex for sale,"₦330,000,000","New Oko Oba, Agege, Lagos",N/A
15 bedroom house for sale,"₦86,000,000","Ekoro Junction, Abule Egba, Agege, Lagos",N/A
11 bedroom house for sale,"₦86,000,000","Ekoro, Abule Egba, Agege, Lagos",N/A
6 bedroom detached duplex for sale,"₦2,300,000,000","Ikoyi, Ikoyi, Lagos",N/A
3 bedroom flat / apartment for sale,"₦290,000,000","Opebi, Ikeja, Lagos",N/A
5 bedroom detached duplex for sale,"₦320,000,000","Lekki Atlantic Gardens Estate, General Paints, Ajah, Lagos",N/A
1 bedroom flat / apartment for rent,"₦2,000,000per annum","Off Addo Road, Ajah, Lagos",N/A
Plaza / complex / mall for sale,"₦11,500,000,000","By Royal Garden Estate, Ajah, Lagos",N/A
4 bedroom detached duplex for sale,"₦190,000,000","Cooperative Villa, Badore, Ajah, Lagos",N/A
2 bedroom flat / apartment for rent,"₦2,500,000per annum","Bogije, Ibeju Lekki, Lagos",N/A
Land for sale,"₦2,500,000,000","Serene Neighborhood, Maitama District, Abuja",N/A
6 bedroom detached duplex for sale,"₦950,000,000","Guzape District, Abuja",N/A
3 bedroom flat / apartment for rent,"₦8,000,000per annum","Gilmor Area, Jahi, Abuja",N/A
12 bedroom house for sale,"₦160,000,000","Akpabor Str, Off 1st Ugbor Road, Gra, Benin, Oredo, Edo",N/A
Commercial land for sale,"₦1,400,000,000","Aiguobasimwin Crescent, Off Golf Course Road, Gra, Benin, Oredo, Edo",N/A
5 bedroom detached duplex for sale,"₦1,200,000,000","Lekki Phase 1, Lekki, Lagos",N/A
Commercial property for rent,"₦180,000per annum","Oniru, Victoria Island (VI), Lagos",N/A
4 bedroom house for sale,"₦310,000,000","Osapa London, Lekki, Lagos",N/A
1 bedroom flat / apartment for rent,"₦4,000,000per annum","Lekki, Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦380,000,000","Chevron Toll Gate, Lekki., Lekki, Lagos",N/A
5 bedroom detached duplex for sale,"₦600,000,000","Ikota, Ikota, Lekki, Lagos",N/A
